affinity_mask,run,order,mode,case,version,median_ns,min_ns,max_ns,thread_cycles,items_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
16,1,old-first,untracked,sprites_16layers,old,4123.4,3794.1,5525.4,10754.6,496672982.2,0,0,0,0,0
16,1,old-first,untracked,sprites_16layers,new,3820.3,3750.4,4403.9,10202.4,536081799.6,0,0,0,0,0
16,1,old-first,untracked,sprites_same_z,old,3784.0,3649.2,4241.0,9991.5,541228450.5,0,0,0,0,0
16,1,old-first,untracked,sprites_same_z,new,3516.8,3305.9,3679.3,9324.5,582348106.2,0,0,0,0,0
16,1,old-first,untracked,sprites_textures,old,13318.0,12819.9,13905.5,31171.6,153777204.2,0,0,0,0,0
16,1,old-first,untracked,sprites_textures,new,12477.0,11971.1,12911.3,28810.2,164142638.0,0,0,0,0,0
16,1,old-first,untracked,sprites_fragmented,old,16807.8,15341.8,17268.4,38505.1,121848098.9,0,0,0,0,0
16,1,old-first,untracked,sprites_fragmented,new,16102.7,15533.2,16677.7,37676.0,127183368.5,0,0,0,0,0
16,1,old-first,untracked,meshes_layers,old,51995.7,48670.7,60683.6,114072.3,39387870.1,0,0,0,0,0
16,1,old-first,untracked,meshes_layers,new,55427.0,49373.0,59741.0,123210.7,36949532.4,0,0,0,0,0
16,1,old-first,untracked,meshes_same_z,old,47463.7,46704.3,47909.8,105287.1,43148789.8,0,0,0,0,0
16,1,old-first,untracked,meshes_same_z,new,48032.4,47166.4,51699.2,106781.6,42637866.7,0,0,0,0,0
16,1,old-first,untracked,meshes_cameras,old,57549.6,55821.9,59236.3,128177.8,35586688.1,0,0,0,0,0
16,1,old-first,untracked,meshes_cameras,new,56937.1,56375.0,58772.3,126321.4,35969511.3,0,0,0,0,0
16,1,old-first,untracked,tmesh_layers,old,69096.5,66262.9,70770.7,152208.7,29639713.5,0,0,0,0,0
16,1,old-first,untracked,tmesh_layers,new,68655.9,65053.9,71154.3,152211.2,29829937.6,0,0,0,0,0
16,1,old-first,untracked,tmesh_16layers,old,68536.7,67327.7,70167.2,152105.8,29881792.4,0,0,0,0,0
16,1,old-first,untracked,tmesh_16layers,new,66655.1,66056.2,68443.8,147822.1,30725340.9,0,0,0,0,0
16,1,old-first,untracked,tmesh_depth,old,68853.9,68331.2,72674.6,152718.0,29744136.7,0,0,0,0,0
16,1,old-first,untracked,tmesh_depth,new,68121.9,66753.9,70831.2,150934.5,30063764.4,0,0,0,0,0
16,1,old-first,untracked,tmesh_cameras,old,75866.0,73846.9,77686.7,167211.0,26994959.2,0,0,0,0,0
16,1,old-first,untracked,tmesh_cameras,new,74740.6,72727.3,76644.1,165176.3,27401429.9,0,0,0,0,0
16,1,old-first,untracked,mixed,old,44942.2,43739.1,46363.3,99623.0,45569655.5,0,0,0,0,0
16,1,old-first,untracked,mixed,new,44955.5,43126.6,48790.2,100594.4,45556192.8,0,0,0,0,0
16,1,old-first,tracked,sprites_layers,old,6797.7,6250.8,7109.0,16609.1,301280312.6,0,0,0,0,0
16,1,old-first,tracked,sprites_layers,new,3862.9,3535.5,4131.2,10279.6,530172919.4,0,0,0,0,0
16,1,old-first,tracked,sprites_16layers,old,4163.3,3968.4,4269.1,10835.2,491919684.7,0,0,0,0,0
16,1,old-first,tracked,sprites_16layers,new,3898.8,3732.0,4085.2,10048.1,525286043.5,0,0,0,0,0
16,1,old-first,tracked,sprites_same_z,old,3882.4,3745.3,4046.9,10217.9,527505785.3,0,0,0,0,0
16,1,old-first,tracked,sprites_same_z,new,3726.6,3607.8,4283.2,9898.9,549568134.2,0,0,0,0,0
16,1,old-first,tracked,sprites_textures,old,17790.6,17111.3,19275.4,40513.2,115116810.1,0,0,0,0,0
16,1,old-first,tracked,sprites_textures,new,16780.9,16338.7,17812.1,38755.5,122043809.2,0,0,0,0,0
16,1,old-first,tracked,sprites_fragmented,old,18722.3,17870.3,19590.2,42766.4,109388470.4,0,0,0,0,0
16,1,old-first,tracked,sprites_fragmented,new,18803.5,18193.8,19418.0,43103.4,108915802.8,0,0,0,0,0
16,1,old-first,tracked,meshes_layers,old,50943.0,50244.5,53313.7,112897.6,40201818.8,0,0,0,0,0
16,1,old-first,tracked,meshes_layers,new,52016.0,50491.0,53573.8,115821.4,39372488.9,0,0,0,0,0
16,1,old-first,tracked,meshes_same_z,old,51413.3,49952.0,55695.7,115030.0,39834065.2,0,0,0,0,0
16,1,old-first,tracked,meshes_same_z,new,50275.4,49585.2,51853.5,112378.0,40735635.8,0,0,0,0,0
